filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version
00454202,db66efe6562bda37dcb26cf3b7bbf20492366ff4,a93d74789ee9a1231dd9462fa048bac096ab1538,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\ovr_jp,false,false,0,none,true,2
005737d5,da2d12b85f66d60a4ae7104291418b90b99ff068,5695a9e630d9e4686d85f7c3336818661fc5cc37,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,true,false,0,none,true,2
007a861b,5adb2efc93b4bf083326d5fadccc72fba036b8b6,2c0f0ce701c5828ad2754884318d7ad9b92c4efb,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,false,true,3,remarci_4x,false,0
00b6209a,49df46b4408becac55582869186290bc143abf22,d3dc3a656803cce28a98238bb8f514595b3b55e5,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,true,false,0,none,true,2
00e11a3e,34b967bbcf87896c6616dade6da75e6e7c4e2fd6,d629a18e52c4f9a77e502df0bc74226dc81fbf32,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\Shared\1080p,false,false,0,none,true,2
00fc60e2,db66efe6562bda37dcb26cf3b7bbf20492366ff4,a93d74789ee9a1231dd9462fa048bac096ab1538,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\ovr_jp,false,false,0,none,true,2
