filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version,npot_resized
e01_1.bmp,e0311b163147d2dc3022848ad99f01cd13d59cb1,22cf91d96cfb4b6323e64b426491f4ef822cb75e,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e01_2.bmp_f0b63fb0ea7e68f56e4e83a511bf37e1,2a35d3dd3e72c3cc9f9ebf7c2c6ae77dc2605683,658822ed07169f80b1a76b601ce5d6be5ae4ad8f,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e01_3.bmp_541acc1ad8a115247861fcf34368023d,98c63f63ac916b94073e481368438459eb972665,8ec4bcf03cc2c85d469c82e83224d6ea2c35fd7d,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e01_4.bmp_54f96d8a29ca80b1a3feabfd6ad0ce4b,caa27fd131c67960efbae16d9fdc30b7f951f6a8,98479d64d7f8a8e0a761c340501fd0a079199496,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e02_1.bmp,4bfcfe998231f52f7e9ecf7b2c48640eee648e9c,6abf2afe4b32b893657c81ab84ed7bdc00714ef2,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e02_2.bmp_75c18656e1070488b65f4ef3c5459c6a,189185f56325a8844fad725f83aeeb86f556efdd,65f5a0d0d11e17a1279596a36d1ef8d2e4bf617b,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e02_3.bmp_9f9413fdf4806383d89d42846a722a3f,866fdd8fdd5c2d544245ec949e4aea90c66338cc,2d6a3db8426ed0244985491c4a484597a5ecb98a,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e02_4.bmp_e98df2b1939851f47c8a6c28ea1d4cda,9756c3ef3f0c2473cb005f6c3d52776e4cf0ec13,b9fae233d3fb3197cd5e1ab6c413241952fdbdfd,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e03_1.bmp,aa1f61aaca62848da038905783a7aa6f0e9e4eac,a7097fa775e6da2c9e69b4dc93b5d2519af6da47,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e03_2.bmp_9dacb2c715572785a6dae28acd90e8b1,63486388722f94e2ba1fc2cb6f1bce782231cf73,cbb8b17c481e4acc4fd1756fd230a88d4e0f045a,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e04_1.bmp,976adf7982c63665690ca87a6a25cd8a33928470,6508f364938c2ce17a628b28222f1d2b320c648c,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false
e04_2.bmp_04dda450a93965ec055c9b3e101e099b,c174424bd9dc9a34b4de012e8560bf96cd2cbb01,072bc57b8bfa221e618e0019b91e8b07dafb906b,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false
e04_3.bmp_6e40581365c7129ba9808c175223db1c,24508e433e2cf881d339cc51bea41d62269d2975,53d78eb2af2d0097bd88b96b71b16b8e4ad91fd6,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false
e04_4.bmp_8c6cd8cff37073ad12c3337cfc6743c9,1960c5da9c1b74a201315dbfabfd80fbbef1310f,6c3ae3c7830fe2d7b7574ef14ac7e778fb61619e,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false
e05_1.bmp,d8e68b43d46f166590f6cba056108feb5d8e3cae,ca2c667e3c0ac14bc8afbaeee775a7ba8b9ebb74,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e05_2.bmp_82b3b58938902ff77960ab86bece7fde,0c9fdfd84077304dd77e598bb68c03fdf7261d16,a7f993ce96cd918540b4091532fc0e33904bcbb4,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e05_3.bmp_af67f0040e86439009598c872cff2e9d,576bd3006d38c8164e739ff10cb629323da2abc0,f1a43c26f3d384fb0228c18a8bb83a770db167e0,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
e05_4.bmp_36713177f73649f66e6d12e18911a8b2,47caebc353a23dc214279b13e437cfbc9fdaca91,5fdfd587ef7b0ed57a3c933f98b32ce8fe80e7f8,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false
h_bottle_ovl_alp.bmp,54a14b6f819d2d546ffdb48fc60541f0384225d2,77e0410a05a7d9b79da72205701aff312189e819,true,ps2 textures\HAS ALPHA\bp_remade,false,true,5,remarci_4x,false,0,false
