filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version,npot_resized,dxt5
e01_1.bmp,e0311b163147d2dc3022848ad99f01cd13d59cb1,30609968e889835b8f90ab9c7fed59f210fdfd86,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e01_2.bmp_f0b63fb0ea7e68f56e4e83a511bf37e1,2a35d3dd3e72c3cc9f9ebf7c2c6ae77dc2605683,2546f0aebc7303830fe5250ff0f4d0768d3790ca,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e01_3.bmp_541acc1ad8a115247861fcf34368023d,98c63f63ac916b94073e481368438459eb972665,52eda0e7728e01f46e86d9a5209cca2545ee4f0b,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e01_4.bmp_54f96d8a29ca80b1a3feabfd6ad0ce4b,caa27fd131c67960efbae16d9fdc30b7f951f6a8,94df31a869625aa5f714c4e6cb8eeae334e35b09,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e02_1.bmp,4bfcfe998231f52f7e9ecf7b2c48640eee648e9c,d2348276a785e0e5810b0856de1de7bcba9bbdff,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e02_2.bmp_75c18656e1070488b65f4ef3c5459c6a,189185f56325a8844fad725f83aeeb86f556efdd,96bf3583ba78b6b76d9c0ab7938bb1bc07773501,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e02_3.bmp_9f9413fdf4806383d89d42846a722a3f,866fdd8fdd5c2d544245ec949e4aea90c66338cc,798ac1126985153d39efbeaa0984b44e2558ade9,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e02_4.bmp_e98df2b1939851f47c8a6c28ea1d4cda,9756c3ef3f0c2473cb005f6c3d52776e4cf0ec13,5429118c0d56eaff2d880529ee056cb73f9cd35c,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e03_1.bmp,aa1f61aaca62848da038905783a7aa6f0e9e4eac,6f9f8678184eb2cc99836eb1a74d406edb40894e,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e03_2.bmp_9dacb2c715572785a6dae28acd90e8b1,63486388722f94e2ba1fc2cb6f1bce782231cf73,1729ec41361fa40071461422194c9cbd824b34c6,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e04_1.bmp,976adf7982c63665690ca87a6a25cd8a33928470,d6644da8f51ba6eac7effd746e134e70d0caa35b,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false,false
e04_2.bmp_04dda450a93965ec055c9b3e101e099b,c174424bd9dc9a34b4de012e8560bf96cd2cbb01,c84e26af7b878e099ecd3eceb24ba71a58701a80,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false,false
e04_3.bmp_6e40581365c7129ba9808c175223db1c,24508e433e2cf881d339cc51bea41d62269d2975,f0ce682d0ae68856871e0932c2a98afc84d024e8,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false,false
e04_4.bmp_8c6cd8cff37073ad12c3337cfc6743c9,1960c5da9c1b74a201315dbfabfd80fbbef1310f,b6cad832503485fde4189fa7d823a4c1975d94bc,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false,false
e05_1.bmp,d8e68b43d46f166590f6cba056108feb5d8e3cae,48a09bba6506b4f9413127b47e069e2aeb2dd2e9,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e05_2.bmp_82b3b58938902ff77960ab86bece7fde,0c9fdfd84077304dd77e598bb68c03fdf7261d16,90b7bf53d3a24ca1e187a35874e77303de287291,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e05_3.bmp_af67f0040e86439009598c872cff2e9d,576bd3006d38c8164e739ff10cb629323da2abc0,9e201430b37c9f82314b77b8c423a864ce05f1b3,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
e05_4.bmp_36713177f73649f66e6d12e18911a8b2,47caebc353a23dc214279b13e437cfbc9fdaca91,3633a6a3393dd3f9218fc7795043e4b2c78531e6,true,ps2 textures\OPAQUE\bp_remade,true,true,5,remarci_4x,false,0,false,false
h_bottle_ovl_alp.bmp,54a14b6f819d2d546ffdb48fc60541f0384225d2,41e75c88b0295422fd867acba427b8cad6a32940,true,ps2 textures\HAS ALPHA\bp_remade,false,true,5,remarci_4x,false,0,false,false
k08_1.bmp,d1b9554991a6e85368efcc4271c94be11958e271,ee8868b3fa238e5a12d49c64b8f45df6292b420d,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false,false
k08_2.bmp,f6874fc161a1bb2e17c31fbbef32a117210aa109,ec8992f05be98a0dbc4d160db9abcb5d3f588a67,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false,false
k08_3.bmp,75ca37a58ecfec278348f3d209cc6c5bcc08fd6c,d59ee4f9c4325f72c6b28cda0534a519d379998f,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false,false
k08_4.bmp,de0ae422064224ed8d2df0faf6732cc20296f081,b437335c0b13d8735533916078b7f66c6b1ba917,true,ps2 textures\OPAQUE,true,true,5,remarci_4x,false,0,false,false
s112a_cell_floor_01_alp_ovl.bmp,5c09fbb4666ec302a73e827539ebeac11ec3aaee,e05d27a5f4906cebdfaacace7bdb73f108960f00,true,ps2 textures\HAS ALPHA\bp_remade,false,true,5,remarci_4x,false,0,false,false
s122a_fence_alp_ovl_01.bmp,52a528a4e9771502d0b3a2f14951dbbbeb6e0e99,cf6431e9e9be00432c89656a54b40dcccb62ae53,true,ps2 textures\HAS ALPHA\bp_remade,false,true,5,remarci_4x,false,0,false,false
s171a_mo_fence_alp_ovl_rep_01.bmp,8bc70f0933355a78a60d68241da9c22f57aa38d9,de2d6907e6684bfd85651e8fc1567149e71b90ea,true,ps2 textures\HAS ALPHA\bp_remade,false,true,5,remarci_4x,false,0,false,false
s171a_mogi_fence_alp_ovl_rep_01.bmp,33ea2b0d64b9c8f051237db5efc44bf38d0d9e7a,ba89d6fa38bb54f684a39944ae1e152ff5c20504,true,ps2 textures\HAS ALPHA\bp_remade,false,true,5,remarci_4x,false,0,false,false
sga_cigar01_brake.bmp,cf2138bc00844ee5563ff03b78cea2c6f349e373,4d8e9fc8784e8d2ba7715305fe56715101f33eb1,true,ps2 textures\OPAQUE\same sha1,true,true,5,remarci_4x,false,0,false,false
sga_cigar_origin.bmp,3b2e8eab4c27d80d733636f0cddd524f5a07b21c,c40b2fbf4c76bc6183c694e5b03100645a680699,true,ps2 textures\OPAQUE\same sha1,true,true,5,remarci_4x,false,0,false,false
