filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version
00454202,db66efe6562bda37dcb26cf3b7bbf20492366ff4,a93d74789ee9a1231dd9462fa048bac096ab1538,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\ovr_us,false,false,0,none,true,2
0049b9cb,5eefa5ef7e15b02bec6d0b3ae8e3c9b0d47a5c38,5405950fe92fad11038e7e97d67e776b73c42eb9,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us\1080p,false,false,0,none,true,2
005737d5,da2d12b85f66d60a4ae7104291418b90b99ff068,5695a9e630d9e4686d85f7c3336818661fc5cc37,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,true,false,0,none,true,2
005eb9cb,a9cac433d0967addbe7229f4f37145433d74c6c1,30665ee71f865c4c1132403534be5db7e7c1626f,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us\1080p,false,false,0,none,true,2
0060a8e0,d48fe024d500450e39a0537a189236e8ab41529e,b61f7faac2ae3e031b0111f70b043c81debb5cf0,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us\1080p,false,false,0,none,true,2
0061b17c,9454c338182126c9be661daac8df595155e47cbe,a3cfa56afc00d280a9a8784725f881ab75abf1aa,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us\1080p,false,false,0,none,true,2
00746cd0,10f6abef638507be742fab05dc3d392419883d65,e1bc070801647538abbed4479a875323a7a375d4,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us\1080p,false,false,0,none,true,2
0075a8e0,c2c59ecb40183dec8a1183cd8f0bde45c0b89798,a6a0561648b4b3971cf9fdec0f101f5d1e5e1ef1,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us\1080p,false,false,0,none,true,2
0076b17c,4a2926961ae26f1a960fa2fa899da63c8e4896a7,f729f7878c13e41661df56e015b2b745669a1480,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us\1080p,false,false,0,none,true,2
007a861b,5adb2efc93b4bf083326d5fadccc72fba036b8b6,3f7bcb9706cd0b51da2f32784b05486308862fae,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,false,true,3,remarci_4x,false,0
007cab39,d0883464ded2702e8e888e1961cba6e73abe98e6,697b6a22e5a3526c1dd8c41dba624219402fd6a6,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us\1080p,false,false,0,none,true,2
00896cd0,ab04e9f3af120dcbf957facd50b69efc51356f7d,c19e59d9914b60aa05910c97a6d70331d734581c,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us\1080p,false,false,0,none,true,2
0091ab39,e52cb69bd288fb3553ad98336fd43aebcbf950bf,ae87ab6f29e39c95470ec48c8096c0ad7271ecff,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\ovr_us\1080p,false,false,0,none,true,2
00b6209a,49df46b4408becac55582869186290bc143abf22,d3dc3a656803cce28a98238bb8f514595b3b55e5,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,true,false,0,none,true,2
00e11a3e,9caa98298f4619fb99015308e49a0d6e0dcd1668,9fcf2de3f2ab4cfa2d2a502acada0b110b249a7c,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\Shared\1080p,false,false,0,none,true,2
00fc60e2,db66efe6562bda37dcb26cf3b7bbf20492366ff4,a93d74789ee9a1231dd9462fa048bac096ab1538,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\ovr_us,false,false,0,none,true,2
