filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,non_upscaled_version,ctxr3_converted,npot_resized
00005011.img,17e89c290bf86c31c76b2a1582de3d6708aa19f2,f97b93153c9b158e611da4a0386f4f14afd6a6e5,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0000719c,7a2e0698c879f7f23882c9c69695798f591c5e3b,044c33367933a95a33bb178e9a4e696cfaf4ae69,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0000c6fa,2fa9983dd713c9aa4e5161246c7d8183cb0e38f5,ded04500fc0bd121f22626c83cc47cd7817a9acf,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00011816,bab3317ec4f1d21b7cfcd2053c02d60bb1048b33,4e8444b98d292a8dd1466a4dc04648b9927ff18c,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0001435e,67e338ad3c9d7e0417a1af6ef5e16197c84de3ca,f206c379d79ab95a6914e5711244bbb398793f53,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00014362,5df9c113a11c5fe3b4c65694f9a0073a491453e3,fe1a1df7bb46ed25b108c9685ae592752ec7725c,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00014366,20f72ca96bf2c9705a9c1d5c3ed1637eeecbe8af,1e510affa2fd132a6bbad673966c34fbff4eafb9,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0001436a,74d4b1d8fa4d0dacd94d97ecd9e1f7d3f1aedd37,f46b2908a959a74bf42930e9bf4b86ac1950a732,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00014fef,cd06656ae13d02611b26917475929ad38d4e8527,d6ca4e65e0b620ffc3c749010e5714e62e058f8e,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false
000237d1,3b30f1d9b1b074537026fdcff04d874480050c10,78e53e7dcd1d80fc55dd6c34b21950a0b0781e84,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0002a890,7eec7f5d57750f8bf4c1d56867cc6b4605682ec3,44a8a60ec496fcea61bbddaddd2f734cf600ae0b,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0002bdfa,25c26e63e4a14437dcad7d8e3559c6aa5f2622eb,7dd5a36f30cffee81cafde8557cc2cb74f9018bc,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0002c24e,9f013704e5c4e554c11a81f0a1949d95efcee9f9,4519b48862d6e8493f54c8815504d5d8a0028380,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0002f937,61332d5a80fc58618e13aff00eab2e747a7a93fc,9e76a1f19b7d0e421c7c3fd48ed2d12d3f830368,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false
00030da5,58f82966748daf314c11b61b1ef8e80cac70b6f4,3c02f71227aa9657e1244dd42451479708a06311,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false
0003436f,eb12202a4ced30e96246334ee3d68e04cde0b545,4ef50ba679372468c3196dfe0ac51e403c128918,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false
00035553,19b7ca9067dbb4de819384261649fd84cd638aa1,ef8aff4edd65c28001def74c7c6e4d215dbf41b6,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00035be9,44dd17d155d3513c4a07369164021780f2f60e5d,bb1a6c396c940953e0efa6970e475c652a5f27eb,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0003966e,d994b9e60163ea88cfba56b1e3913ce55ac6a0d0,30a70d74a68db34a93b2adcc78575278af388407,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false
0003a514,0dbe6619e28337cf8abace0120679513b9a7320f,08ca31a6c1e32e5c8f8ceed42c8a6bdccc8195f1,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false
0003f2e2,88d08d573d9af0ae080c7ba9a41340bb8c645497,ff72aa904b3e6249ef90d3e57bf3e4af4c9c902a,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0004e32e,446fcf94d4c81599df61d84ff7a3ba7f713db065,2eaf3fc22ab3b1dc6bd657f50a75aa92babfe50c,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false
00050da5,2bc6bcbba9b687410f7c3033cd594c467cc4d69a,b0b024b9c883de42786d0519c1ce57786503e089,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false
00051138,cd9c6cfddecbb2f8daa53a17b64dc47629ea5097,f2a2e52a5bfde809c5d233d642cf8c4a3be67e23,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false
00051911,e51fe46c8be25052ee50ee5dde25aa822d0b64dd,8666265bef567abe45ebdedcad98d55d743c2c3b,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false
00054383,2b8d7dc3d19c80dd94ed122ef8794d0d446106bb,e72d252e50fd6806e5a2f6107c66620c20bb169c,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false
000589dd.img,42a9570b2c61bd5fa55004f8de6dd8ba2fd91d97,9f35a4ae69f7f4c219ea0f8082a965a57b10548c,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
000641cb,5bc22e5cb1c49d6e22bbb4db89ee99afe939010c,b8a08a1ea87ec5d94543071e138a4ee5d67fb2f1,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00064917.img,1d476323256dc93ac7322eda616c5c944e84ab30,3deec348a2de2af4f2d5e9d05a459099ebeea5db,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00065d4c,0c8753a1d1512125c3092d0c9a3abf1f3affa3ef,46ed1a47a89e183b750f7d796878571f08e1fd38,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false
0006afc6,416e227f59eea27886f1d1e99e6bcebeee1c0ea3,93927cb6acf60f9a102d97b579bf99ed73bab32c,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0007080a.img,49f4dbd8e0142e355230830848c9cfaed14eb8a7,2f78962a35db5bdaf654c8616026a6afd133c1cd,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
