filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version,npot_resized
0003a157.img,ad19bcee5657b3bc0055f5e3d0b5431977acdbf6,4e532e4ee0dd73070fbf523f116054a67dae41f0,true,ps2 textures\opaque\bp_remade,true,false,0,none,false,5,false
0003a157.img_03f17ff9395846ea5bf936552c3b988a,5389da2c30305e6b7b6e595620efe394a94ed98f,451856a32260c7527bc1e83d5e11ce68be2bb597,true,ps2 textures\opaque\bp_remade,true,false,0,none,false,5,false
0003a157.img_072734442395aa77b4dc73a300e14635,a08be4b149f95965fabc915097010497e30f775c,7c2eb517f1d0803b3af4250a6d466a612b53af23,true,ps2 textures\opaque\bp_remade,true,false,0,none,false,5,false
0003a157.img_079c21f87c2396e85d5f7c82637e7352,18ac4a8461e014f5b87ba4ce2f5a358fe5e48a25,bb782fcb265070c423cacedc0b552b79e0899b4f,true,ps2 textures\opaque\bp_remade,true,false,0,none,false,5,false
0003a157.img_185cf90c2eaa2eef3aeb870ec4834671,bbece4eaec1e3a8f47a2aa29d09fdaecfb89a7ac,b81164fadb886b1ab71ead0b2429835a2cfc8460,true,ps2 textures\opaque\bp_remade,true,false,0,none,false,5,false
0003a157.img_1ba470027dacd7c10adf661610dc04e1,e34cdb6f612d612e164067a2ddba43fda4f11a25,d57a9f41cb55f86a7273f680e93ceb0c7c8eb37b,true,ps2 textures\opaque\bp_remade,true,false,0,none,false,5,false
0003a157.img_1ece3f27cf607206241327a91b57c89d,e38d69e1f1bba3e514b0a402a2a2e7055ca568cb,1c060db949d99dfcc9bed95f3d4e5ae3ab20c8cc,true,ps2 textures\opaque\bp_remade,true,false,0,none,false,5,false
0003a157.img_2be35633bee586cebc75a438f0e6e4e2,f493418340dbf37d89c8e053a28b787cd455144c,b87f8ee2d58eeea34fe1be62fbf8f4fb21228b3a,true,ps2 textures\opaque\bp_remade,true,false,0,none,false,5,false
0003a157.img_3175e6874d78a2e57eb432e68c004751,8f373e2b5a21a433b05c6fc2bfabad656ed9aa40,3ed148d6fe87122d06b6839922fc7f112846fa67,true,ps2 textures\opaque\bp_remade,true,false,0,none,false,5,false
0003a157.img_335003ac512d622e8ff81548074823df,15643b48880abbf058fad6933d46d219fd2f58a9,8e2a8beb9a446783bc6da97384d693d2a587e4f7,true,ps2 textures\opaque\bp_remade,true,false,0,none,false,5,false
