filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version
00454202,db66efe6562bda37dcb26cf3b7bbf20492366ff4,a93d74789ee9a1231dd9462fa048bac096ab1538,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\ovr_jp,false,false,0,none,true,2
005737d5,da2d12b85f66d60a4ae7104291418b90b99ff068,5695a9e630d9e4686d85f7c3336818661fc5cc37,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,true,false,0,none,true,2
007a861b,5adb2efc93b4bf083326d5fadccc72fba036b8b6,7a8e40a74297ed8264cc493464473af9852d156e,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,false,false,0,none,true,2
00b6209a,49df46b4408becac55582869186290bc143abf22,d3dc3a656803cce28a98238bb8f514595b3b55e5,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,true,false,0,none,true,2
00e11a3e,29e6acb2f2e2e103b94490685a38342a6f15ca86,8aebbeb722c067abc2d3e145847050dfa3c0bdc6,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\Shared\original res,false,false,0,none,true,2
00fc60e2,db66efe6562bda37dcb26cf3b7bbf20492366ff4,a93d74789ee9a1231dd9462fa048bac096ab1538,false,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\ovr_jp,false,false,0,none,true,2
