filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,non_upscaled_version,ctxr3_converted,npot_resized,dxt5
00005011.img,17e89c290bf86c31c76b2a1582de3d6708aa19f2,59ddf757b6c8507af56c4d4d1d396023dd312dd3,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0000719c,7a2e0698c879f7f23882c9c69695798f591c5e3b,7f10c93c3738b0b328aecbefe2f793e26d051c95,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0000c6fa,2fa9983dd713c9aa4e5161246c7d8183cb0e38f5,1776af4ed7ec9e7f93417313ff30e4a5091d3a60,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00011816,bab3317ec4f1d21b7cfcd2053c02d60bb1048b33,efaf5a4396b73dabab5ffe3d1b47537d06ab1a78,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0001435e,67e338ad3c9d7e0417a1af6ef5e16197c84de3ca,7961b06863a7e4910cdf2067bab7110520354a37,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00014362,5df9c113a11c5fe3b4c65694f9a0073a491453e3,25f51dc71424664c39f62ba754493bdae11ce94f,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00014366,20f72ca96bf2c9705a9c1d5c3ed1637eeecbe8af,27b90986b722f34b8d2b4ef179dd6a1491cd90b8,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0001436a,74d4b1d8fa4d0dacd94d97ecd9e1f7d3f1aedd37,360359bd83cb2760bdaa6e7ae5850551bcbac3c0,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00014fef,cd06656ae13d02611b26917475929ad38d4e8527,254985e8688c213ee7232191a24cf2b75e6157dc,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
000237d1,3b30f1d9b1b074537026fdcff04d874480050c10,ca8989eaf783d4aba1198e5893ae1bcc357a4fa5,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0002a890,7eec7f5d57750f8bf4c1d56867cc6b4605682ec3,14352baa8959b411ec2e46c41809ba5f7cced356,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0002bdfa,25c26e63e4a14437dcad7d8e3559c6aa5f2622eb,92043e02a369cb041775f6af41079188619345ab,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
