filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,non_upscaled_version,ctxr3_converted,npot_resized,dxt5
0002c24e,9f013704e5c4e554c11a81f0a1949d95efcee9f9,ccd46e86a94788f044348c1f042e1114979ef4e0,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0002f937,61332d5a80fc58618e13aff00eab2e747a7a93fc,9e76a1f19b7d0e421c7c3fd48ed2d12d3f830368,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
00030da5,58f82966748daf314c11b61b1ef8e80cac70b6f4,3036b41a91d703752df1fb5ed739d7d3459eca4b,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
0003436f,eb12202a4ced30e96246334ee3d68e04cde0b545,589fb91dee287db577d6659a0e3e7ecbed7d6ca7,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
00035553,19b7ca9067dbb4de819384261649fd84cd638aa1,77cb5bbd02c3ccf39f1c9b140512afcd3d58dbf3,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00035be9,44dd17d155d3513c4a07369164021780f2f60e5d,093c955a1b079f9191d1f2569ea3d68b263e6ba6,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0003966e,d994b9e60163ea88cfba56b1e3913ce55ac6a0d0,e37bc2b0527e851ddc19801a37b67056ad5ebdc1,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
0003a514,0dbe6619e28337cf8abace0120679513b9a7320f,08ca31a6c1e32e5c8f8ceed42c8a6bdccc8195f1,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
0003f2e2,88d08d573d9af0ae080c7ba9a41340bb8c645497,62fc22f69b9f340a6a5b6f9df2cab23917ebe24b,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0004e32e,446fcf94d4c81599df61d84ff7a3ba7f713db065,bbd9df4525b26d301603f1da71b674211c5ec1be,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
00050da5,2bc6bcbba9b687410f7c3033cd594c467cc4d69a,700abd890ab904f0a58abf8afef1a334825e6db9,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
00051138,cd9c6cfddecbb2f8daa53a17b64dc47629ea5097,f2a2e52a5bfde809c5d233d642cf8c4a3be67e23,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
00051911,e51fe46c8be25052ee50ee5dde25aa822d0b64dd,8666265bef567abe45ebdedcad98d55d743c2c3b,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
00054383,2b8d7dc3d19c80dd94ed122ef8794d0d446106bb,2c5f13a59576ede60b52e83237582df36bc6902a,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
000589dd.img,42a9570b2c61bd5fa55004f8de6dd8ba2fd91d97,ab3e526a77a7320a71ce6799b129fd54364f90c6,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000641cb,5bc22e5cb1c49d6e22bbb4db89ee99afe939010c,1ed25ccac20e9c9ec980528c62ce7e60cade276e,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00064917.img,1d476323256dc93ac7322eda616c5c944e84ab30,7bae393a5125f6ca7b56f1ba3802b76a0f4e1fa5,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00065d4c,0c8753a1d1512125c3092d0c9a3abf1f3affa3ef,46ed1a47a89e183b750f7d796878571f08e1fd38,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
0006afc6,416e227f59eea27886f1d1e99e6bcebeee1c0ea3,5f169399926c2718a673480823b6c4e870248f78,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0007080a.img,49f4dbd8e0142e355230830848c9cfaed14eb8a7,df88116538f3e53d243ef4d879cbc49377d5ec6a,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00070eff,0410770619096d3cd3aa97fa91aa7c3aa938ecd7,e7d98e011f2de1ff02624d16408013a2d1c92ba7,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00071198,87a3256978a9d0a892ba17f2bf70a47059545a04,d812f6e91b0f7cdcb601d00880b98b1805bdd668,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000737d1,8b5084746f5377fafabef69854c2e8578f44d837,49eab69a69d6e3f741f3c949cd46f73b7ca8d210,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00075c08,06f7143e99598c7a0072814206f66ce2afba2593,07ccf624134585e806ad6ef4ef9ecdb4a04ca35f,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00078701.img,7777c4262085f18e7b806a0af25e8260b3fad0df,2beb3bc5d4dc6ddd0be315c18622539d6de1145b,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00082a90,9cf3f764af32825910016d9146bc6a9bbab3d904,f09f93ac56694270280a6ba4c5eb78af02771fd3,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
00082b11,3971f39410a469575f9c4db1808ffae1133aaee1,5bf61008be6e0519975531475bad5330c8bd0773,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
00084e98,d151ab05429d467b278c83135665106080f2271d,0b376302ba4247b3af264ab3dcfb82bc0d207f47,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
00084f11,8f436f03888590caf750164da90ed1861baca492,ef2acc4428fbc7dec96a0b8d887f8f172acf5c24,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000855ab,798d9fa6cecac35ded0e6ab46840be0de8ba298c,5cd98ce8c3f062be6486cf6a3697cb91b75fab43,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
00085893,fea7b7e82af16b0115a7a4883140fec259b11c6b,1037b504402bc7971e444b7069c6c7dbaabd9ce6,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00089f76,1683692a8bfaf901a088a2384f09012efe94c18e,0292e3363caab17a8928dae17f57c49fc5786cb0,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
0008bc87,93415343892154a3c41bd1c3fd9b09912d62432d,b5e5e20a43973474f8c568b13790121cfcca52f6,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
00090e7c,4c4c1615205911b88dd90ca626baa646dbde5367,bdf4665b393874098305afb0494b154448167708,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00094903,fdd74eeb10c8ff1fc01ad77eb7e3ac1a50736f1f,497d1cc3216d950c41e704bf85d0f76e033eed3e,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
0009883c,22aab07134e3b034f05e5222184b050f3b459b56,5224000ec7f687bc9f7adc241538dc90cde55567,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000a0152,4877dbdb7fdb6e757d808b79032a8c936a14d4ff,f90fd6ffbfca3914022e34e19f97a1e38ad79ea9,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000a4397,1208b0604bee737574dcb3dcff295d9e96d6caa6,33c2ac69da57a335379fb0118e1a3bdc6df707d7,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
000a795f,c25d60170ab068dcbb8105d5cec2e69a57d7d86d,54e5ec2c2ba3a2ef0fb76bbf310e517b422b110b,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000aaff5,bcd182a032853e7d11a2d6abb1a1a1268ea4942a,ade4abe86229f3bdc30a2d484ac22dfda4ff14ab,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000ab6a2,83a26a873a3dd4593d1b60331dd2f2c3d0b0c804,f1dd78af65f3578231318405d709c394339c40df,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000ac0c1,c64c53b4021874f4f20af7c5d47e599251c964bc,fc1f0f24f7a456857d2c9dbc9dadccd739bf90a2,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
000ac2c8,6e47cb657f8a9b7548f6543af27890d42b742346,b73a02d223a4e15980a44f8293ec5af688c198de,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000b8842,fc514c5c99dd7875acbbcb457d46c2f513cfdcd2,3942f7c454d76cdde6c5e7598760b823b769e4e3,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000b957a,6d839683ca211367a6ce1652af2400bf71e91ee8,616832a18f55ec5d463c4943a219a002176496ab,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000b957b,36e99fedf5c3f74237524e76850a2c201c3e1431,cf406ed0f9df2b4cd266ba8e6e43dc8c33a11884,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000b957c,ece31fe7ac0fdf1d580a41468186e53dc4548364,cb8e35dbd812164fae69e0e24ea3b978237315ca,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000bac79.img,6dcb7ee9594f768273237e5609ea69552167d51b,dfe02ecadcefa469bbcbc428088296e130e23b69,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000baecd.img,a170f8945b1d6e8304394f6ad2bf7a1e08f8e292,2fdc73b8af7aa11a21dfb4c689327d53ed0ebd16,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000baff5,19045cf31d2a57844e38362c6abd30fa12105cea,656cfb63bfdff481aef608ad74efd3476faafde4,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000bfb12,e3fb47300cdb40a304dd309451dfc13312d180d2,b365878a1a97c13174cfe17761a79d648a2210eb,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000ceb01,1a3cb729538e23aa03c3e2a1b02f281d85a91b29,050a6972179cae5082ae7b34298f8b43d2300e57,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000cefa2,47318f4d0ec9cb24c3c21d08dac2629d4c29ebab,7c10e49f3de25690766999f0c86d1ebaea063b6a,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000d0167,da504e312741fbb42a351ecc860269f49f38f29d,80c8d7bbf770420f23a75610d9f64fc6daaaaea7,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000d1404,b58bf83b987468d6701654406d5cc612bf28481a,88f33c8e71406e08a313b41c2921487e191d665f,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000d482b,8361b9811334384200119fe88fed0813c8bf3f2d,1d4c43f3c53e70d2803817a0b28edbd504f62166,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000d6f06,db69259f94372e8d82dee0c0918a34d4d7a917e8,5e56c82c92011d5b846f7b961bd4666b1c0591cf,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000dbebc,78f01c7bae69c676f5aff8eed1100daf1570bf2d,9a4fd4cb6560b7c0f033c3344ed639a589281500,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
000e1f3a,67d0e6c99337aeaec033991969010281cba1c48d,5a58efbde82221880baad478377dadb5b072358a,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
000eab46,b86e0be6ef022c33fdae809f26be4e27d95dc2ea,6749523d77b76437246df6f75a043c7685eca91f,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000ecbfd.img,4983ab81344d32dc1493cac78f91e45026c8fca6,b1b266097d60694fba051a2726b217f6ccf90982,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000ef413,cc4086ce85bde114fdd2a2c84fc4b6cd78810267,4009a6046b0b48baead5a8b3e06da78bbb9f2983,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
000efe46,cd5e7a69ce9eb1d2bab77a05b01a8b3b7664721f,a012b025198c5faf5c7207497658806c5b7ed368,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0010363e,8b1f0db9ace323fdb6437599e645ead2c4a18bc7,647543f61ef472c822667e94263a694632a6c496,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
00104da1.img,1960242c75299d6b91fac98228ee0d8143d7cd22,e7509fb5fd5a3b4ef8faecb872a48b53675ad156,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0010b399,7600769edb4769ee3ec69522d76d1fa146d01da6,ad12b8f9a9e6a4b044e6325912358dbb0e8b87c4,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0010eab5.img,ce49f90983c0f7637d95815c14a2c152bff7566f,4ef74b3795de316b9ebba0088046e3c6f39e2855,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00113632,74a7de6b6096f648678165392c8446ff2529c7aa,66f7847ae587e29f521c11b8070a305b35ffab04,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
0011366c,bc338336494b623b18eb51ba13744d2e337a7df4,961ece9e033f3f9115dc4649f5acf6a2b99dd760,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
00114c3b,a6a2489fed46d3c0de53f0c84c129d259a82cbab,729630e595b36e680657048d2f5c6e4cb8b1e5ef,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00115e54,6ea18fba1ed42bae776725323e5677a7cbff39ad,d7cfa0d7bfe72eae6044c0ae14279b50b2b4c89b,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
001184f1,b854da1d8de31b773495079ed8f1e3b23966f89f,b87707cde291aaa7a4c816d153117e5713510f19,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0011b5d7,a6220ebb4a7569313b1f1170229ab156b5a7e237,f946bfc17eb51e6b8ea2add8358168f7fd10bbbe,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0011b626,b8a9136d1e632d0fd84b51cd80e92ccdd4d5b60d,5cb3c95e98fcb10a72b0806743eaf413bbb14551,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00123b67,32b9a97eec5f9ac849b4bbdcd07e38477bd8fe88,338571fe719c306f11ab0c68a2c9b1348f0f06e6,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
001248b2,ec6d6047be823bed67337c330e2f830e46daaec8,489e1ae010c32cab9d713e617e80e0602a417322,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
001260c2,538cdfe1d5e40a4deb1820c4c4f85307fcc54ea8,a4c9f53dac51f94895316a259207656c20589855,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
001292a2,3447e01222e54a68dd41b5d83c9af73c722e693d,455c98af543b76221769a8737e48678dd002392c,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0012a3f2,421ad348c82d99963037f0bcfdd119c02437666b,c0c8603232936ebcaa022a53cd1aef7825a1585e,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0012a655,d35b90536f57c5a29332d98d7c63d7cd543ca279,d8b94ca0a8add71fd776b5202fd230ea765e045a,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0012b5d7,d06dc6eb3b280e8e25678841be3f8284abfeb2e9,0ff985e0592ee2430a23567006d805a8ead433d3,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0012b626,8e9fea8b20671973689662d825fbe48bcc11775b,2af268d85386551c785e6f6667afb76bef125c3b,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00135a88,31b3b35c76f10879b0a8569301fac594df20fe49,67280753b13061ebbf48e246c5fc93c9d29c9aa6,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0013709b,13a674c85310a96d7cd35feac483157ef2cf8322,63f10288ca8bc3f1602ab650ddbf00bdc7e4f325,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0013def6.img,59b4df8de7ddaf689a4635c280c3e8f3434863eb,2abd1c9ad22b89bcb493583d7d08d1a0bbfe1a8e,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00141e76,af39aba59db4d86ebfd38408523be94f8c52068f,b34a35f652fb1238d663d5c7ac5a5ab55ca28a32,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
001446c3,d7ca6523ce802d9d92a2ba008b729002d1da4916,dd8238b0af8aaeabf6baeff36562a736457c1664,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
0014b46f,b931ca06c45131a014bbfb54d86f04fface59051,1ea0c059eaa230c495b7b9fed496ac17ad9a0f8b,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
00154e27,dd01d65f4891bb8faed883995c566433db29c394,d5194c5b1b2be1230d5955933185d5291e6a71d8,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00154e2b,03c1dc8ffaadc619c5d6acf095c685724f4982ac,360ceb58f61bbcc3c871ad415c8f9fe63731b1b6,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00154e2f,8c639367f573d4af674ad9e86ecba553294d4cb1,56a74bdc7e3fc7571f74ab4732475305e69dd458,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00155d88,1b806b4c10046c56ba05d6658f0ff06c2e3e6b46,09b6637f349e0a79ceb06483dd575cd50d56f9a9,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0015cada,668b6c1b155c9e4f6b533ebc782ad12bdcb63784,2fbf48096a8e4e659f4af7ded78bd2103db88894,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
00163d74,9953d70ad52d4e66c2dbc448e09e2b9ce7bf00cb,708e747813f08bbb2f03672943a6b6c22663e081,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00163fb5,5f984199f3112600d8947c7e6fc16d73da415de8,f85dd4c0173cab90053bf1f4b7ef7ce1ee71f9b1,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0016829d.img,9d9234adc25be197558057cfc97b18c769443be3,8060fbc3497febdc09e8875127542e92b748955c,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00168752,16680637f19c575e976258a6eb5dfe10339ceb38,a1bdf79aac30f06bfeb82b5576cc45db44ee21b5,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
0016ae13.img,3fc92a88219a711bcdc4295c1159c73a1d835d32,80473286a1e93e9f61fb3fe6305dc5349f30d5b9,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
0016df98,e933df76587dd50766388e00180a980cc66da8fc,845ef0a09ceab1dde4b174b55a3f2b04550d89bb,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00171f0a,ad273960b6fbc2a386c068e1816322a640b9207e,ce9748eaf9d8362e911c155845c5c780fdb01850,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
00178752,b1c9f9876d4020b5bb7b4a8480198898e860aa7e,ce9b5672587c0b8b777065fc538b9acbfb42b2a0,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false,false
00184159,e3643f84eff46e9895975ef0f0dd4194e5a9063e,728947fd36f36e3c32059122f664557b2fe768e2,true,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,0,false,false,false
00186029,3c69ead625f920f773e69bca9d25e268828c0848,7d5ae9a7a98e2f2744d6866ea35dc395525109fb,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
0018c06c,b193566a0107849e1a629a3e6a31ea331d2314a9,bba6c28341cc5cd75f6532fcabb0eee48fd5a3c8,false,ps2 textures\opaque\bp_remade\no_mip_fixes\ui,true,false,0,none,5,true,false,false
0018c9cf.img,e16ad8533cc876f03c8b462d9f33e4500959cac3,fd857872110b9d37d7cee8d69db726bf4a9fa080,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
0018c9d7.img,f2a094360165ee450a8ab3f1c421df320f5ac01c,90f09836a3fa9bae1cd56c816ce2cbaf753dd7bd,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
0018c9db.img,ebe7e4619c36c2acdfc74ad2031c26f79b89d80b,8e5961cad6fdd6f183f627d0f98096def26de938,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
0018c9df.img,9663d240a3291ee0a2f2a8285d576d9786231f77,d2936506200d6342a8ec805b9478bb0c3f0e0911,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
0018c9e3.img,4d0552d79d745059036327941ed501e68285745a,9e31e8f702fdd07542b084c3f1d38504a6faa2b4,false,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,false,0,none,5,true,false,false
