filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version
00454202,b5cb202704e28adb251a39b02aaf1e2b07639826,b44252da95c7c031bf36c24441b017f09b488212,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,3,remarci_4x,false,0
007a861b,5adb2efc93b4bf083326d5fadccc72fba036b8b6,3f7bcb9706cd0b51da2f32784b05486308862fae,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Shared\UI\Shared,false,true,3,remarci_4x,false,0
00e11a3e,ad1a352d3e9e3bc08695b8051371c5f66100cdf2,50dab3c0418e21e27010ffae3150d5525af645f3,true,Self Remade\Finalized\Not Demaster Fixed\Demaster Fixed\Subsistence\UI\Shared,false,true,3,remarci_4x,false,0
00fc60e2,db66efe6562bda37dcb26cf3b7bbf20492366ff4,c05f36454f13b1a0901e7a3dfd9445de3d030c8a,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,3,remarci_4x,false,0
